nodenumber     x-coordinate     y-coordinate     z-coordinate
       217   -3.5808761855E-02   -2.7929240526E-02    4.4777653874E-02
       218   -3.5798403940E-02   -1.2134698577E-02    1.2638614782E-01
       219   -3.5796342064E-02   -3.2117250584E-02    3.0243304498E-02
       220   -3.5788118480E-02   -2.4049093101E-02    3.9414110350E-02
       221   -3.5787294314E-02   -3.0262907894E-02    2.9573398577E-02
       222   -3.5784728296E-02   -1.1433855355E-02    1.3296022679E-01
       223   -3.5782036236E-02   -3.1614660941E-02    4.4160289095E-02
       224   -3.5779322056E-02   -3.2325742592E-02    3.0252456659E-02
       225   -3.5775375361E-02   -3.2520115977E-02    3.0364929076E-02
       226   -3.5774646778E-02   -2.4120326430E-02    3.7897987897E-02
       227   -3.5759096213E-02   -2.6820570999E-02    3.1561288966E-02
       228   -3.5743242581E-02   -2.5324872443E-02    4.3540244984E-02
       229   -3.5736149291E-02   -3.1453872244E-02    4.4480894953E-02
       230   -3.5733173713E-02   -3.4684580980E-02    3.3204116984E-02
       231   -3.5724858376E-02   -2.4919834784E-02    3.4730057544E-02
       232   -3.5720461481E-02   -1.1415592759E-02    1.2740086355E-01
       233   -3.5718193514E-02   -2.9194742895E-02    2.9146968599E-02
       234   -3.5715526104E-02   -3.2238077755E-02    4.4053070054E-02
       235   -3.5709702013E-02   -1.4390464609E-02    1.2357565912E-01
       236   -3.5686059363E-02   -3.3476146118E-02    3.0605071430E-02
       237   -3.5680398800E-02   -2.2147156875E-02    1.3255603267E-01
       238   -3.5679830111E-02   -2.3857446888E-02    4.1100500630E-02
       239   -3.5676447035E-02   -2.6106984506E-02    3.1897309848E-02
       240   -3.5669387373E-02   -2.4012583436E-02    3.6742434893E-02
       241   -3.5668684653E-02   -2.3644560928E-02    3.9006735632E-02
       242   -3.5663516719E-02   -2.5524841011E-02    4.4272084559E-02
       243   -3.5661410832E-02   -3.2115542429E-02    4.4413782409E-02
       244   -3.5648572211E-02   -3.3938226004E-02    4.2602522298E-02
       245   -3.5646873280E-02   -9.7339074159E-03    1.3199757487E-01
       246   -3.5637576384E-02   -1.3242261470E-02    1.3324696078E-01
       247   -3.5631279585E-02   -2.9383211488E-02    4.5716982329E-02
       248   -3.5626042436E-02   -2.4277752611E-02    3.5399471639E-02
       249   -3.5619683901E-02   -2.0135330423E-02    1.3402775622E-01
       250   -3.5611675908E-02   -3.2937257123E-02    2.9415177469E-02
       251   -3.5609465575E-02   -3.1098318346E-02    2.8316031731E-02
       252   -3.5608439375E-02   -3.1013601448E-02    2.8284136337E-02
       253   -3.5608267795E-02   -3.0324301488E-02    2.8184141633E-02
       254   -3.5599635685E-02   -1.6927461521E-02    1.2084108892E-01
       255   -3.5596080699E-02   -3.5770702186E-02    3.7886280568E-02
       256   -3.5584657429E-02   -2.5793043191E-02    3.1580527305E-02
       257   -3.5579742340E-02   -2.3352096817E-02    3.9113103154E-02
       258   -3.5574033703E-02   -9.7108901079E-03    1.3207836052E-01
       259   -3.5567537937E-02   -2.9816574101E-02    4.5943855792E-02
       260   -3.5556731663E-02   -3.1551371425E-02    2.8107669504E-02
       261   -3.5548765089E-02   -3.4610341024E-02    3.1220185311E-02
       262   -3.5545478903E-02   -2.2305035732E-02    1.2253665730E-01
       263   -3.5536479816E-02   -2.3344109461E-02    4.1052150771E-02
       264   -3.5529115806E-02   -2.7330889154E-02    4.6081623153E-02
       265   -3.5528218424E-02   -2.3205994801E-02    3.8804667524E-02
